2019冠狀病毒病 2019冠状病毒病
一字巾 一字巾
一字褒貶 一字褒贬
一學就會 一学就会
一定 一定
一定要 一定要
一家 一家
一家之主 一家之主
一家人 一家人
一家人不說兩家話 一家人不说两家话
一家子 一家子
一審 一审
一寸光陰一寸金 一寸光阴一寸金
一寸光陰一寸金，寸金難買寸光陰 一寸光阴一寸金，寸金难买寸光阴
一對 一对
一對一鬥牛 一对一斗牛
一對兒 一对儿
一小撮 一小撮
一小部分 一小部分
一小陣兒 一小阵儿
一展身手 一展身手
一層 一层
一山不容二虎 一山不容二虎
一己 一己
一帆風順 一帆风顺
一席之地 一席之地
一席話 一席话
一帶 一带
一帶一路 一带一路
一帶而過 一带而过
一年之計在於春 一年之计在于春
一年到頭 一年到头
一年半 一年半
一年半載 一年半载
一年四季 一年四季
一年多 一年多
一年期 一年期
一年生 一年生
一年被蛇咬十年怕井繩 一年被蛇咬十年怕井绳
一度 一度
一廂情願 一厢情愿
一式二份 一式二份
一彈指頃 一弹指顷
一往情深 一往情深
一往無前 一往无前
一往直前 一往直前
一律 一律
一徑 一径
一心 一心
一心一德 一心一德
一心一意 一心一意
一心二用 一心二用
一心多用 一心多用
一念之差 一念之差
一意 一意
一意孤行 一意孤行
一應 一应
一應俱全 一应俱全
一成不變 一成不变
一戰 一战
一房一廳 一房一厅
一手 一手
一手交錢，一手交貨 一手交钱，一手交货
一手包辦 一手包办
一手遮天 一手遮天
一打 一打
一技之長 一技之长
一把好手 一把好手
一把屎一把尿 一把屎一把尿
一把手 一把手
一把抓 一把抓
一把死拿 一把死拿
一把眼淚一把鼻涕 一把眼泪一把鼻涕
一把鑰匙開一把鎖 一把钥匙开一把锁
一抓一大把 一抓一大把
一折兩段 一折两段
一抿子 一抿子
一拍兩散 一拍两散
一拍即合 一拍即合
一掃而光 一扫而光
一掃而空 一扫而空
一排 一排
一探究竟 一探究竟
一推六二五 一推六二五
一掬同情之淚 一掬同情之泪
一揮而就 一挥而就
一撥兒 一拨儿
一擁而上 一拥而上
一擁而入 一拥而入
一擊入洞 一击入洞
一擲千金 一掷千金
一攬子 一揽子
一改故轍 一改故辙
一敗塗地 一败涂地
一文不值 一文不值
一文不名 一文不名
一斑 一斑
一方 一方
一方面 一方面
一旁 一旁
一族 一族
一日三秋 一日三秋
一日三餐 一日三餐
一日不如一日 一日不如一日
一日不見，如隔三秋 一日不见，如隔三秋
一日之計在於晨 一日之计在于晨
一日之雅 一日之雅
一日千里 一日千里
一日為師，終身為父 一日为师，终身为父
一旦 一旦
一早 一早
一星半點 一星半点
一是一，二是二 一是一，二是二
一時 一时
一時半刻 一时半刻
一時半晌 一时半晌
一時半會 一时半会
一時半會兒 一时半会儿
一時半霎 一时半霎
一時瑜亮 一时瑜亮
一時間 一时间
一晃 一晃
一暴十寒 一暴十寒
一曝十寒 一曝十寒
一更 一更
一會 一会
一會兒 一会儿
一月 一月
一月份 一月份
一望無垠 一望无垠
一望無際 一望无际
一望而知 一望而知
一朝一夕 一朝一夕
一朝天子一朝臣 一朝天子一朝臣
一朝被蛇咬，十年怕井繩 一朝被蛇咬，十年怕井绳
一木難支 一木难支
一本正經 一本正经
一本萬利 一本万利
一杯羹 一杯羹
一東一西 一东一西
一板一眼 一板一眼
一板三眼 一板三眼
一枝獨秀 一枝独秀
一柱擎天 一柱擎天
一根筋 一根筋
一根繩上的螞蚱 一根绳上的蚂蚱
一桿進洞 一杆进洞
一條心 一条心
一條繩上的螞蚱 一条绳上的蚂蚱
一條路走到黑 一条路走到黑
一條道走到黑 一条道走到黑
一條龍 一条龙
一條龍服務 一条龙服务
一棍子打死 一棍子打死
一概 一概
一概而論 一概而论
一槌定音 一槌定音
一槍命中 一枪命中
一模一樣 一模一样
一樣 一样
一次 一次
一次函數 一次函数
一次又一次 一次又一次
一次性 一次性
一次方程 一次方程
一次方程式 一次方程式
一次生，兩次熟 一次生，两次熟
一次總付 一次总付
一步一個腳印 一步一个脚印
一步一趨 一步一趋
一步到位 一步到位
一步登天 一步登天
一步裙 一步裙
一毛不拔 一毛不拔
一氣 一气
一氣之下 一气之下
一氣呵成 一气呵成
一氧化二氮 一氧化二氮
一氧化氮 一氧化氮
一氧化碳 一氧化碳
一水兒 一水儿
一決雌雄 一决雌雄
一波三折 一波三折
一波未平，一波又起 一波未平，一波又起
一派胡言 一派胡言
一派謊言 一派谎言
一流 一流
一清二楚 一清二楚
一清二白 一清二白
一清如水 一清如水
一清早 一清早
一準 一准
一溜煙 一溜烟
一潭死水 一潭死水
一炮打響 一炮打响
一炮而紅 一炮而红
一無所動 一无所动
一無所有 一无所有
一無所獲 一无所获
一無所知 一无所知
一無所聞 一无所闻
一無所長 一无所长
一無是處 一无是处
一物降一物 一物降一物
一犯再犯 一犯再犯
一琴一鶴 一琴一鹤
一瓶子不響，半瓶子晃蕩 一瓶子不响，半瓶子晃荡
一生 一生
一生一世 一生一世
一甲 一甲
一甲子 一甲子
一畝三分地 一亩三分地
一病不起 一病不起
一瘸一拐 一瘸一拐
一發不可收拾 一发不可收拾
一發而不可收 一发而不可收
一百一 一百一
一盤散沙 一盘散沙
一目了然 一目了然
一目十行 一目十行
一目瞭然 一目了然
一直 一直
一直以來 一直以来
一直往前 一直往前
一相情願 一相情愿
一眨眼 一眨眼
一眼 一眼
一眼望去 一眼望去
一眼看穿 一眼看穿
一睹 一睹
一瞥 一瞥
一瞬 一瞬
一瞬間 一瞬间
一矢中的 一矢中的
一知半解 一知半解
一石二鳥 一石二鸟
一碗水端平 一碗水端平
一神教 一神教
一神論 一神论
一秉虔誠 一秉虔诚
一秘 一秘
一種 一种
一空 一空
一窩蜂 一窝蜂
一窮二白 一穷二白
一窺端倪 一窥端倪
一竅不通 一窍不通
一站式 一站式
一笑了之 一笑了之
一笑置之 一笑置之
一筆不苟 一笔不苟
一筆勾銷 一笔勾销
一筆帶過 一笔带过
一筆抹殺 一笔抹杀
一筆抹煞 一笔抹煞
一等 一等
一等獎 一等奖
一箭之仇 一箭之仇
一箭雙鵰 一箭双雕
一節詩 一节诗
一籌莫展 一筹莫展
一籮筐 一箩筐
一粒老鼠屎壞了一鍋粥 一粒老鼠屎坏了一锅粥
一系列 一系列
一紙空文 一纸空文
一級 一级
一級士官 一级士官
一級方程式 一级方程式
一級棒 一级棒
一級頭 一级头
一統 一统
一絲一毫 一丝一毫
一絲不掛 一丝不挂
一絲不苟 一丝不苟
一經 一经
一維 一维
一網打盡 一网打尽
一線 一线
一線之間 一线之间
一線之隔 一线之隔
一線希望 一线希望
一線微光 一线微光
一總 一总
一而再，再而三 一而再，再而三
一聲 一声
一聲不吭 一声不吭
一聲不響 一声不响
一肚子 一肚子
一肚皮 一肚皮
一股子 一股子
一股清流 一股清流
一股腦 一股脑
一股腦兒 一股脑儿
一胎制 一胎制
一胎化 一胎化
一脈相承 一脉相承
一腔 一腔
一臉茫然 一脸茫然
一致 一致
一致字 一致字
一致性 一致性
一致性效應 一致性效应
一致資源定址器 一致资源定址器
一舉 一举
一舉一動 一举一动
一舉兩得 一举两得
一舉成功 一举成功
一舉手一投足 一举手一投足
一般 一般
一般人 一般人
一般來說 一般来说
一般來講 一般来讲
一般原則 一般原则
一般性 一般性
一般而言 一般而言
一般般 一般般
一般見識 一般见识
一般規定 一般规定
一般說來 一般说来
一般貿易 一般贸易
一落千丈 一落千丈
一葉知秋 一叶知秋
一葉障目 一叶障目
一著不慎，滿盤皆輸 一着不慎，满盘皆输
一號 一号
一號木桿 一号木杆
一號電池 一号电池
一行 一行
一衣帶水 一衣带水
一見傾心 一见倾心
一見如故 一见如故
一見鍾情 一见钟情
一見高低 一见高低
一視同仁 一视同仁
一親芳澤 一亲芳泽
一覺醒來 一觉醒来
一覽 一览
一覽無遺 一览无遗
一覽無餘 一览无余
一覽眾山小 一览众山小
一角銀幣 一角银币
一觸即潰 一触即溃
一觸即發 一触即发
一言 一言
一言一動 一言一动
一言一行 一言一行
一言不合 一言不合
一言不發 一言不发
一言九鼎 一言九鼎
一言以蔽之 一言以蔽之
一言千金 一言千金
一言堂 一言堂
一言抄百總 一言抄百总
一言既出，駟馬難追 一言既出，驷马难追
一言為定 一言为定
一言為重 一言为重
一言難盡 一言难尽
一語不發 一语不发
一語中的 一语中的
一語成讖 一语成谶
一語破的 一语破的
一語道破 一语道破
一語雙關 一语双关
一說 一说
一諾千金 一诺千金
一貧如洗 一贫如洗
一貫 一贯
一走了之 一走了之
一起 一起
一路 一路
一路上 一路上
一路來 一路来
一路平安 一路平安
一路貨 一路货
一路貨色 一路货色
一路順風 一路顺风
一路風塵 一路风尘
一蹴即至 一蹴即至
一蹴可幾 一蹴可几
一蹴而就 一蹴而就
一蹴而得 一蹴而得
一蹶不振 一蹶不振
一躍而起 一跃而起
一身 一身
一身兩役 一身两役
一身是膽 一身是胆
一身汗 一身汗
一較高下 一较高下
一輩子 一辈子
一輪 一轮
一轉眼 一转眼
一辭莫贊 一辞莫赞
一退六二五 一退六二五
一通百通 一通百通
一逞獸欲 一逞兽欲
一連 一连
一連串 一连串
一遍 一遍
一遍又一遍 一遍又一遍
一過性 一过性
一道 一道
一遞一個 一递一个
一遞一聲 一递一声
一邊 一边
一邊倒 一边倒
一部二十四史，不知從何說起 一部二十四史，不知从何说起
一部分 一部分
一醉方休 一醉方休
一針見血 一针见血
一錘子買賣 一锤子买卖
一錘定音 一锤定音
一錢不值 一钱不值
一錢如命 一钱如命
一錯再錯 一错再错
一鍋端 一锅端
一鍋粥 一锅粥
一長一短 一长一短
一門式 一门式
一門心思 一门心思
一閃念 一闪念
一閃而過 一闪而过
一陣 一阵
一陣子 一阵子
一雨成秋 一雨成秋
一雪前恥 一雪前耻
一霎 一霎
一霎時 一霎时
一霎眼 一霎眼
一霎間 一霎间
一靈真性 一灵真性
一面 一面
一面之交 一面之交
一面之詞 一面之词
一面倒 一面倒
一項一項地 一项一项地
一頭 一头
一頭栽進 一头栽进
一頭熱 一头热
一頭霧水 一头雾水
一顆老鼠屎壞了一鍋湯 一颗老鼠屎坏了一锅汤
一顆老鼠屎壞了一鍋粥 一颗老鼠屎坏了一锅粥
一類 一类
一類保護動物 一类保护动物
一顰一笑 一颦一笑
一飲而盡 一饮而尽
一飽眼福 一饱眼福
一馬勺壞一鍋 一马勺坏一锅
一馬平川 一马平川
一馬當先 一马当先
一騎絕塵 一骑绝尘
一驚一乍 一惊一乍
一骨碌 一骨碌
一體 一体
一體兩面 一体两面
一體化 一体化
一鬨而散 一哄而散
一鱗半爪 一鳞半爪
一鳴驚人 一鸣惊人
一黑早 一黑早
一點 一点
一點一滴 一点一滴
一點一點 一点一点
一點不 一点不
一點兒 一点儿
一點就通 一点就通
一點水一個泡 一点水一个泡
一點鄰域 一点邻域
一點點 一点点
一黨 一党
一黨專制 一党专制
一鼓作氣 一鼓作气
一鼻孔出氣 一鼻孔出气
一齊 一齐
丁 丁
丁 丁
丁丁 丁丁
丁丁 丁丁
丁丁 丁丁
丁丁炒麵 丁丁炒面
丁丑 丁丑
丁二烯 丁二烯
丁二醇 丁二醇
丁亥 丁亥
丁克 丁克
丁內酯 丁内酯
丁冬 丁冬
丁加奴 丁加奴
丁卯 丁卯
丁卯戰爭 丁卯战争
丁卯胡亂 丁卯胡乱
丁型肝炎 丁型肝炎
丁基 丁基
丁基 丁基
丁夫 丁夫
丁字 丁字
丁字尺 丁字尺
丁字梁 丁字梁
丁字步 丁字步
丁字街 丁字街
丁字褲 丁字裤
丁字鎬 丁字镐
丁客 丁客
丁寧 丁宁
丁寵家庭 丁宠家庭
丁巳 丁巳
丁巳復辟 丁巳复辟
丁憂 丁忧
丁是丁，卯是卯 丁是丁，卯是卯
丁未 丁未
丁格犬 丁格犬
丁汝昌 丁汝昌
丁烯 丁烯
丁烷 丁烷
丁玲 丁玲
丁磊 丁磊
丁糖 丁糖
丁肇中 丁肇中
丁艱 丁艰
丁酉 丁酉
丁醇 丁醇
丁醛 丁醛
丁零噹啷 丁零当啷
丁青 丁青
丁青縣 丁青县
丁韙良 丁韪良
丁香 丁香
丁骨牛排 丁骨牛排
丁鯛 丁鲷
丁鱥 丁鱥
丁點 丁点
丂 丂
七 七
七七事變 七七事变
七七八八 七七八八
七上八下 七上八下
七上八落 七上八落
七事 七事
七分之一 七分之一
七分熟 七分熟
七十 七十
七十七國集團 七十七国集团
七十年代 七十年代
七台河 七台河
七台河市 七台河市
七和弦 七和弦
七喜 七喜
七嘴八張 七嘴八张
七嘴八舌 七嘴八舌
七國集團 七国集团
七堵 七堵
七堵區 七堵区
七夕 七夕
七夕節 七夕节
七大姑八大姨 七大姑八大姨
七大工業國集團 七大工业国集团
七姊妹星團 七姊妹星团
七孔 七孔
七層架構 七层架构
七巧板 七巧板
七帶石斑魚 七带石斑鱼
七年之癢 七年之痒
七弦琴 七弦琴
七彎八拐 七弯八拐
七彩 七彩
七律 七律
七情 七情
七手八腳 七手八脚
七扭八歪 七扭八歪
七折八扣 七折八扣
七拼八湊 七拼八凑
七政四餘 七政四余
七方 七方
七日熱 七日热
七旬老人 七旬老人
七星 七星
七星區 七星区
七星瓢蟲 七星瓢虫
七曜 七曜
七月 七月
七月份 七月份
七武士 七武士
七河州 七河州
七灣八拐 七湾八拐
七爺八爺 七爷八爷
七碳糖 七碳糖
七竅 七窍
七竅生煙 七窍生烟
七級浮屠 七级浮屠
七美 七美
七美鄉 七美乡
七老八十 七老八十
七聲 七声
七聲音階 七声音阶
七股 七股
七葉樹 七叶树
七葷八素 七荤八素
七號電池 七号电池
七角形 七角形
七言律詩 七言律诗
七邊形 七边形
七里河 七里河
七里河區 七里河区
七里香 七里香
七零八碎 七零八碎
七零八落 七零八落
七項全能 七项全能
七魄 七魄
七鰓鰻 七鳃鳗
七龍珠 七龙珠
丄 丄
丅 丅
丆 丆
万 万
万俟 万俟
丈 丈
丈二和尚，摸不著頭腦 丈二和尚，摸不着头脑
丈二金剛摸不著頭腦 丈二金刚摸不着头脑
丈人 丈人
丈八蛇矛 丈八蛇矛
丈夫 丈夫
丈母 丈母
丈母娘 丈母娘
丈量 丈量
三 三
三 三
三C 三C
三K黨 三K党
三P 三P
三七 三七
三七二十一 三七二十一
三七仔 三七仔
三七開 三七开
三七開定論 三七开定论
三三兩兩 三三两两
三下五除二 三下五除二
三下兩下 三下两下
三不 三不
三不五時 三不五时
三不朽 三不朽
三不沾 三不沾
三不知 三不知
三不管 三不管
三世 三世
三中全會 三中全会
三九天 三九天
三五 三五
三五成群 三五成群
三井 三井
三亞 三亚
三亞市 三亚市
三人成虎 三人成虎
三人行 三人行
三人行，則必有我師 三人行，则必有我师
三人行，必有我師 三人行，必有我师
三仇 三仇
三代 三代
三代同堂 三代同堂
三令五申 三令五申
三件套式西裝 三件套式西装
三伏 三伏
三伏天 三伏天
三位一體 三位一体
三位博士 三位博士
三俠五義 三侠五义
三個世界 三个世界
三個代表 三个代表
三個和尚沒水吃 三个和尚没水吃
三個和尚沒水喝 三个和尚没水喝
三個女人一個墟 三个女人一个墟
三個女人一臺戲 三个女人一台戏
三個臭皮匠，勝過一個諸葛亮 三个臭皮匠，胜过一个诸葛亮
三個臭皮匠，合成一個諸葛亮 三个臭皮匠，合成一个诸葛亮
三個臭皮匠，賽過一個諸葛亮 三个臭皮匠，赛过一个诸葛亮
三個臭皮匠，賽過諸葛亮 三个臭皮匠，赛过诸葛亮
三個臭皮匠，頂個諸葛亮 三个臭皮匠，顶个诸葛亮
三倍 三倍
三催四請 三催四请
三價 三价
三元 三元
三元區 三元区
三元運算 三元运算
三元醇 三元醇
三元音 三元音
三光 三光
三光政策 三光政策
三兩 三两
三八 三八
三八大蓋 三八大盖
三八節 三八节
三八線 三八线
三公消費 三公消费
三公經費 三公经费
三分 三分
三分之一 三分之一
三分熟 三分熟
三分鐘熱度 三分钟热度
三分頭 三分头
三包 三包
三北 三北
三北防護林 三北防护林
三十 三十
三十二位元 三十二位元
三十二相 三十二相
三十八度線 三十八度线
三十六字母 三十六字母
三十六計 三十六计
三十六計，走為上策 三十六计，走为上策
三十六計，走為上計 三十六计，走为上计
三十年河東，三十年河西 三十年河东，三十年河西
三十而立 三十而立
三千大千世界 三千大千世界
三原 三原
三原則 三原则
三原縣 三原县
三叉戟 三叉戟
三叉神經 三叉神经
三反 三反
三反運動 三反运动
三句話不離本行 三句话不离本行
三台 三台
三台縣 三台县
三合一 三合一
三合一疫苗 三合一疫苗
三合土 三合土
三合星 三合星
三合會 三合会
三合院 三合院
三味線 三味线
三和弦 三和弦
三國 三国
三國史記 三国史记
三國志 三国志
三國演義 三国演义
三圍 三围
三地門 三地门
三地門鄉 三地门乡
三大紀律八項注意 三大纪律八项注意
三天不打，上房揭瓦 三天不打，上房揭瓦
三天兩頭 三天两头
三天打魚，兩天曬網 三天打鱼，两天晒网
三夷教 三夷教
三姑六婆 三姑六婆
三字經 三字经
三字經 三字经
三官大帝 三官大帝
三家村 三家村
三寶 三宝
三寶太監 三宝太监
三寶鳥 三宝鸟
三寸不爛之舌 三寸不烂之舌
三對三鬥牛 三对三斗牛
三小 三小
三尖杉酯鹼 三尖杉酯碱
三屜桌 三屉桌
三山 三山
三山區 三山区
三岔口 三岔口
三島由紀夫 三岛由纪夫
三峽 三峡
三峽大壩 三峡大坝
三峽水庫 三峡水库
三峽鎮 三峡镇
三度 三度
三廂 三厢
三廢 三废
三弦 三弦
三得利 三得利
三從四德 三从四德
三心二意 三心二意
三思而後行 三思而后行
三思而行 三思而行
三手病 三手病
三拗湯 三拗汤
三振 三振
三振出局 三振出局
三教 三教
三教九流 三教九流
三文治 三文治
三文魚 三文鱼
三族 三族
三旬九食 三旬九食
三明 三明
三明市 三明市
三明治 三明治
三星 三星
三星 三星
三星堆 三星堆
三星鄉 三星乡
三星集團 三星集团
三春 三春
三昧 三昧
三更 三更
三更半夜 三更半夜
三曹 三曹
三月 三月
三月份 三月份
三月街 三月街
三朋四友 三朋四友
三板 三板
三柱門 三柱门
三框欄 三框栏
三條 三条
三極管 三极管
三權分立 三权分立
三權鼎立 三权鼎立
三次 三次
三次元 三次元
三次冪 三次幂
三次方 三次方
三次方程 三次方程
三次曲線 三次曲线
三歸依 三归依
三段論 三段论
三毛貓 三毛猫
三民 三民
三民主義 三民主义
三民區 三民区
三氟化硼 三氟化硼
三氯化磷 三氯化磷
三氯化鐵 三氯化铁
三氯氧磷 三氯氧磷
三氯氰胺 三氯氰胺
三氯甲烷 三氯甲烷
三水 三水
三水區 三水区
三水縣 三水县
三江並流 三江并流
三江侗族自治縣 三江侗族自治县
三江平原 三江平原
三江源 三江源
三江生態旅遊區 三江生态旅游区
三河 三河
三河市 三河市
三河縣 三河县
三法司 三法司
三洋 三洋
三流 三流
三浦 三浦
三浦梅園 三浦梅园
三溫暖 三温暖
三灣 三湾
三灣鄉 三湾乡
三炮 三炮
三無 三无
三無人員 三无人员
